"sub","session","n","modality","prt","dprime","accuracy","sex","group"
"sub-26",3,2,"audio",1.25661333333333,2.87477038356765,85.225,"Female","Control"
"sub-26",4,1,"audio",0.937003333333333,3.78763389735501,89.2333333333333,"Female","Control"
"sub-26",4,2,"audio",1.03346666666667,3.09430476406708,85.2333333333333,"Female","Control"
"sub-27",1,1,"audio",1.32977333333333,1.9523928502097,72.2166666666667,"Male","Experimental"
"sub-27",1,2,"audio",1.57710333333333,0.195288888414074,49.1333333333333,"Male","Experimental"
"sub-27",2,1,"audio",1.28844666666667,3.8437894080113,88.2416666666667,"Male","Experimental"
"sub-27",2,2,"audio",1.42485333333333,2.9446862524527,87.2166666666667,"Male","Experimental"
"sub-27",3,1,"audio",1.31274333333333,3.39731956794777,89.2166666666667,"Male","Experimental"
"sub-27",3,2,"audio",1.2061,3.51096071823941,88.2333333333333,"Male","Experimental"
"sub-27",4,1,"audio",1.09170666666667,3.78763389735501,89.2333333333333,"Male","Experimental"
"sub-27",4,2,"audio",1.11923666666667,3.56809951685558,89.225,"Male","Experimental"
"sub-28",1,1,"audio",0.821063333333333,2.72172629489137,80.2333333333333,"Female","Control"
"sub-28",1,2,"audio",0.922966666666667,2.07819318273849,78.2083333333333,"Female","Control"
"sub-28",2,1,"audio",0.604973333333333,4.13792000638037,88.25,"Female","Control"
"sub-28",2,2,"audio",1.0762,1.93181324533948,84.1666666666667,"Female","Control"
"sub-28",3,1,"audio",0.51384,3.62913118022901,84.25,"Female","Control"
"sub-28",3,2,"audio",0.865803333333333,2.45840049421167,82.2166666666667,"Female","Control"
"sub-28",4,1,"audio",0.60718,3.8437894080113,88.2416666666667,"Female","Control"
"sub-28",4,2,"audio",0.646323333333333,3.00217189208805,84.2333333333333,"Female","Control"
"sub-29",1,1,"audio",1.40972333333333,3.78763389735501,89.2333333333333,"Male","Experimental"
"sub-29",1,2,"audio",1.77112333333333,2.97729633829709,88.2083333333333,"Male","Experimental"
"sub-29",2,1,"audio",1.44406,2.34270717961694,84.2,"Male","Experimental"
"sub-29",2,2,"audio",1.56671333333333,3.11546620136051,87.225,"Male","Experimental"
"sub-29",3,1,"audio",1.12203333333333,4.37309944946723,90.2416666666667,"Male","Experimental"
"sub-29",3,2,"audio",1.23996,3.29142633773999,88.225,"Male","Experimental"
"sub-29",4,1,"audio",1.19717666666667,4.04027075969534,90.2333333333333,"Male","Experimental"
"sub-29",4,2,"audio",1.18542666666667,3.8437894080113,88.2416666666667,"Male","Experimental"
"sub-30",1,1,"audio",1.0843,2.70399043465984,85.2166666666667,"Female","Control"
"sub-30",1,2,"audio",1.36461666666667,1.49182207880974,75.175,"Female","Control"
"sub-30",2,1,"audio",1.21147333333333,2.22899923692567,84.1916666666667,"Female","Control"
"sub-30",2,2,"audio",1.64046333333333,0.714074462965902,75.1,"Female","Control"
"sub-30",3,1,"audio",1.11951666666667,2.53095068590775,83.2166666666667,"Female","Control"
"sub-30",3,2,"audio",1.37906333333333,1.47398745198315,80.15,"Female","Control"
"sub-30",4,1,"audio",0.841586666666667,3.53520280266817,86.2416666666667,"Female","Control"
"sub-30",4,2,"audio",1.29929666666667,1.71227886484006,81.1666666666667,"Female","Control"
"sub-33",1,1,"audio",1.31474666666667,2.32421389006235,86.1833333333333,"Female","Experimental"
"sub-33",1,2,"audio",1.74008666666667,1.16683196613517,83.1,"Female","Experimental"
"sub-33",2,1,"audio",1.13498333333333,4.6672300478363,90.25,"Female","Experimental"
"sub-33",2,2,"audio",1.11175,4.41459318549596,89.25,"Female","Experimental"
"sub-33",3,1,"audio",1.0787,3.78763389735501,89.2333333333333,"Female","Experimental"
"sub-33",3,2,"audio",0.998393333333333,4.37309944946723,90.2416666666667,"Female","Experimental"
"sub-33",4,1,"audio",1.07016,3.56809951685558,89.225,"Female","Experimental"
"sub-33",4,2,"audio",0.881246666666667,4.6672300478363,90.25,"Female","Experimental"
"sub-35",1,1,"audio",1.09396333333333,2.66870973295396,86.2083333333333,"Male","Control"
"sub-35",1,2,"audio",1.3005,1.73369733984687,78.1833333333333,"Male","Control"
"sub-35",2,1,"audio",0.82277,3.82933340103724,86.25,"Male","Control"
"sub-35",2,2,"audio",1.28778666666667,1.65178031162596,74.1916666666667,"Male","Control"
"sub-35",3,1,"audio",0.83566,3.8437894080113,88.2416666666667,"Male","Control"
"sub-35",3,2,"audio",1.21042,1.5467927439544,74.1833333333333,"Male","Control"
"sub-35",4,1,"audio",0.948953333333333,3.8437894080113,88.2416666666667,"Male","Control"
"sub-35",4,2,"audio",1.19281333333333,2.39232318218139,78.225,"Male","Control"
"sub-36",1,1,"audio",1.22153666666667,4.1204625871269,89.2416666666667,"Male","Control"
"sub-36",1,2,"audio",1.36209,2.81205978348905,86.2166666666667,"Male","Control"
"sub-36",2,1,"audio",1.17810666666667,3.12064638883217,88.2166666666667,"Male","Control"
"sub-36",2,2,"audio",1.33540333333333,4.1204625871269,89.2416666666667,"Male","Control"
"sub-36",3,1,"audio",1.27482666666667,2.97729633829709,88.2083333333333,"Male","Control"
"sub-36",3,2,"audio",1.39008666666667,2.70399043465984,85.2166666666667,"Male","Control"
"sub-36",4,1,"audio",1.23637666666667,4.37309944946723,90.2416666666667,"Male","Control"
"sub-36",4,2,"audio",1.44595,4.13792000638037,88.25,"Male","Control"
"sub-37",1,1,"audio",1.21614333333333,3.39731956794777,89.2166666666667,"Male","Control"
"sub-37",1,2,"audio",1.73855333333333,1.16683196613517,83.1,"Male","Control"
"sub-37",2,1,"audio",0.948033333333333,3.8437894080113,88.2416666666667,"Male","Control"
"sub-37",2,2,"audio",1.37681666666667,2.2256886795603,86.175,"Male","Control"
"sub-37",3,1,"audio",0.80601,4.1204625871269,89.2416666666667,"Male","Control"
"sub-37",3,2,"audio",1.07610333333333,2.66870973295396,86.2083333333333,"Male","Control"
"sub-37",4,1,"audio",0.898923333333333,3.9619598700009,87.25,"Male","Control"
"sub-37",4,2,"audio",1.30715666666667,2.2256886795603,86.175,"Male","Control"
"sub-39",1,1,"audio",1.31267666666667,2.73778806307703,88.1916666666667,"Male","Experimental"
"sub-39",1,2,"audio",1.48620333333333,1.93181324533948,84.1666666666667,"Male","Experimental"
"sub-39",2,1,"audio",0.838263333333333,4.37309944946723,90.2416666666667,"Male","Experimental"
"sub-39",2,2,"audio",0.840013333333333,3.56809951685558,89.225,"Male","Experimental"
"sub-39",3,1,"audio",0.867563333333333,4.04027075969534,90.2333333333333,"Male","Experimental"
"sub-39",3,2,"audio",1.06249333333333,3.38080604722423,90.2,"Male","Experimental"
"sub-39",4,1,"audio",0.840416666666667,4.1204625871269,89.2416666666667,"Male","Experimental"
"sub-39",4,2,"audio",0.723273333333333,4.37309944946723,90.2416666666667,"Male","Experimental"
"sub-41",1,1,"audio",1.02621,3.29142633773999,88.225,"Male","Control"
"sub-41",1,2,"audio",1.27195666666667,2.9446862524527,87.2166666666667,"Male","Control"
"sub-41",2,1,"audio",1.18942,3.78763389735501,89.2333333333333,"Male","Control"
"sub-41",2,2,"audio",1.30609666666667,3.29142633773999,88.225,"Male","Control"
"sub-41",3,1,"audio",1.08689,2.80133620191762,87.2083333333333,"Male","Control"
"sub-41",3,2,"audio",1.24407333333333,3.56809951685558,89.225,"Male","Control"
"sub-41",4,1,"audio",1.15472333333333,2.97729633829709,88.2083333333333,"Male","Control"
"sub-41",4,2,"audio",1.05199666666667,4.41459318549596,89.25,"Male","Control"
"sub-42",1,1,"audio",1.00482333333333,3.11546620136051,87.225,"Female","Control"
"sub-42",1,2,"audio",1.28824333333333,2.67553586938883,87.2,"Female","Control"
"sub-42",2,1,"audio",0.940233333333333,3.51096071823941,88.2333333333333,"Female","Control"
"sub-42",2,2,"audio",1.01900666666667,3.33500058185994,87.2333333333333,"Female","Control"
"sub-42",3,1,"audio",0.99657,3.66782927163183,87.2416666666667,"Female","Control"
"sub-42",3,2,"audio",0.963443333333333,4.37309944946723,90.2416666666667,"Female","Control"
"sub-42",4,1,"audio",1.01051666666667,3.56809951685558,89.225,"Female","Control"
"sub-42",4,2,"audio",0.95558,3.8437894080113,88.2416666666667,"Female","Control"
"sub-43",1,1,"audio",1.02406666666667,3.78763389735501,89.2333333333333,"Female","Control"
"sub-43",1,2,"audio",0.956253333333333,3.56809951685558,89.225,"Female","Control"
"sub-43",2,1,"audio",1.01592,3.6499564302881,90.2166666666667,"Female","Control"
"sub-43",2,2,"audio",0.982726666666667,3.11546620136051,87.225,"Female","Control"
"sub-43",3,1,"audio",1.01978666666667,3.66782927163183,87.2416666666667,"Female","Control"
"sub-43",3,2,"audio",1.04681333333333,4.04027075969534,90.2333333333333,"Female","Control"
"sub-43",4,1,"audio",0.99028,3.9619598700009,87.25,"Female","Control"
"sub-43",4,2,"audio",1.10318333333333,3.39731956794777,89.2166666666667,"Female","Control"
"sub-44",1,1,"audio",1.10713333333333,3.20237411289628,86.2333333333333,"Female","Experimental"
"sub-44",1,2,"audio",1.34090666666667,2.4292014577339,86.1916666666667,"Female","Experimental"
"sub-44",2,1,"audio",0.830156666666667,3.42713345383897,85.2416666666667,"Female","Experimental"
"sub-44",2,2,"audio",0.79109,3.33500058185994,87.2333333333333,"Female","Experimental"
"sub-44",3,1,"audio",1.11977333333333,3.33500058185994,87.2333333333333,"Female","Experimental"
"sub-44",3,2,"audio",1.19732666666667,2.456840359026,87.1833333333333,"Female","Experimental"
"sub-44",4,1,"audio",0.961653333333333,3.29142633773999,88.225,"Female","Experimental"
"sub-44",4,2,"audio",0.775586666666667,3.8437894080113,88.2416666666667,"Female","Experimental"
"sub-45",1,1,"audio",1.21984,3.29142633773999,88.225,"Female","Experimental"
"sub-45",1,2,"audio",1.41493666666667,2.81205978348905,86.2166666666667,"Female","Experimental"
"sub-45",2,1,"audio",0.847786666666667,4.04027075969534,90.2333333333333,"Female","Experimental"
"sub-45",2,2,"audio",0.78062,4.37309944946723,90.2416666666667,"Female","Experimental"
"sub-45",3,1,"audio",0.880016666666667,3.12064638883217,88.2166666666667,"Female","Experimental"
"sub-45",3,2,"audio",0.928093333333333,3.82073637919591,90.225,"Female","Experimental"
"sub-45",4,1,"audio",0.758676666666667,3.51096071823941,88.2333333333333,"Female","Experimental"
"sub-45",4,2,"audio",0.79747,3.82073637919591,90.225,"Female","Experimental"
"sub-46",1,1,"audio",1.39358,3.56809951685558,89.225,"Male","Control"
"sub-46",1,2,"audio",1.55912,2.62918044311949,82.225,"Male","Control"
"sub-46",2,1,"audio",1.47975666666667,3.39731956794777,89.2166666666667,"Male","Control"
"sub-46",2,2,"audio",1.38487333333333,2.66870973295396,86.2083333333333,"Male","Control"
"sub-46",3,1,"audio",1.31646333333333,3.12064638883217,88.2166666666667,"Male","Control"
"sub-46",3,2,"audio",1.47189,2.8514960057683,88.2,"Male","Control"
"sub-46",4,1,"audio",1.36767333333333,4.1204625871269,89.2416666666667,"Male","Control"
"sub-46",4,2,"audio",1.49026666666667,2.04198299394006,86.1583333333333,"Male","Control"
"sub-47",1,1,"audio",0.997503333333333,4.1204625871269,89.2416666666667,"Male","Experimental"
"sub-47",1,2,"audio",1.25979333333333,3.1281691848839,89.2,"Male","Experimental"
"sub-47",2,1,"audio",0.893443333333333,4.04027075969534,90.2333333333333,"Male","Experimental"
"sub-47",2,2,"audio",0.86134,4.1204625871269,89.2416666666667,"Male","Experimental"
"sub-47",3,1,"audio",0.97604,4.37309944946723,90.2416666666667,"Male","Experimental"
"sub-47",3,2,"audio",0.91875,4.41459318549596,89.25,"Male","Experimental"
"sub-47",4,1,"audio",0.88997,4.1204625871269,89.2416666666667,"Male","Experimental"
"sub-47",4,2,"audio",0.9043,4.1204625871269,89.2416666666667,"Male","Experimental"
"sub-48",1,1,"audio",1.26907,2.3211321089047,85.1916666666667,"Female","Experimental"
"sub-48",1,2,"audio",1.51764,1.68832370466268,82.1583333333333,"Female","Experimental"
"sub-48",2,1,"audio",1.13379,3.39731956794777,89.2166666666667,"Female","Experimental"
"sub-48",2,2,"audio",1.23714,2.8514960057683,88.2,"Female","Experimental"
"sub-48",3,1,"audio",0.936193333333333,4.04027075969534,90.2333333333333,"Female","Experimental"
"sub-48",3,2,"audio",1.21219,3.11546620136051,87.225,"Female","Experimental"
